DIVISION,Capital_Cost_M$
'1',14968.509317594562
'2',32885.72399748123
'3',30961.014479266432
'4',18062.284141209697
'5',45673.076478148374
'6',8295.432889360556
'7',19638.65454521174
'8',19043.41891583795
'9',47539.45294379148
